RawText,Polarity,ReviewScore
엄마 사드렸는데 배도 편하게 눌러주고  미디가 길어 편하다고...다섯가지 색상 모두 이쁘네요^^ 이모선물로 추가 주문합니다~,긍정,100
입자마자 시원하고 배 부분도 잘 잡아주고 입어보니 넝수편하네요^^ 반사이즈는 아래가 좋을듯해요 너무 이쁘네요          ,긍정,100
생각처럼 얇지는 않지만 스판기짱에 착용감이 완전편하고 좋아요 굿굿,무반응,100
장점은 품질.핏은 좋아요 가격은 싸요 단점은 더워요~~허리밴드부분이 땀 채여요 ㅜㅜ 오래 앉아있으니 밴드가 덥더군요 한여름에 더울듯,무반응,60
허리를 강하게 잡아주어서 좋구요.원단이 앏아서 덥지 않는 바지입니다. 맘에듭니다~^^,긍정,100
저는 원래 상품평 잘안쓰는데~~허리밴드가 넓어서 뱃살 커버해주고 핏좋고 참고로 저는 허벅지가 굵은데 날씬해보여서 다행 밴드라 정먈 착용감 편하고 막입기 편하면서 갖춰입을수도 있고 키큰사람은 9부 저는 157인사람 안줄려도 되고~~ 재구매해서 내년에 입을까하는 생각도 해봤어요 몸무게가 변함이 없으면요 ㅋㅋ,긍정,100
골반 위부터 밴드 아래  사이가 항아리 처럼 나와서 원단이 남아 돕니다~허벅지고 종아리고 다 큽니다~마르지 않은 제 체형에 55사이즈 주문했는데도 클 정돈데 보정력은 1도 안되네요~,부정,40
허리밴드가 넓어 복부를 잡아주니 좋아요 가볍고 스판이라 활동하기 편할것 같아요 ,긍정,100
저렴한옷이라 별기대는크게안햇는데 받고보니 저에게 길이가딱맞고 핏감도좋아요 소재가얇지않고 살에붙지않고시원해요 허리밴드부분이너무넓어 넣어입진못하고상의를덮어야해요 블루바지한벌만 종아리부분이 너무좁아서 교환문제로고민되네요,무반응,100
요새 유행이어서인지 바지 길이가 짧아서 시른중이었는데 이바지는 안짧아요~ 그리고 한치수 작게 주문하셔도~ 제가 55~66으로 넘어가려는 싸이즌데 이건 55  시켜도 맞네요 운동부족으로 뱃살출렁임이 창피했는데 커버할수 있을것 같아요 옷 입고 당기믄서 운동해요 우리^^,긍정,80
핏이 예쁘고 다리가 길어보이는 팬츠 착한가격에 구매했어요 ~~,긍정,100
항상 바지길이때문에 불만이었는데 이제품은 길이가 너무 좋네요 키커도 이쁘게 보이는 길이에요 다리 길어보여요,긍정,100
크게 기대하지 않고 구압했는데 받아 보니 디자인 색상 아주 괜찮아요 잘 입겠어요. 세탁해도 문제가 없겠지요,긍정,100
옷이편하고가벼워서좋아요. 색상이좀더다채로웠으면합니다. 그린이있었으면더좋아을듯.,긍정,100
배송완전빠릅니당^^ 부쩍살이쪄서77주문햇는데 160인키엔복숭아뼈아래까지 내려오네요~ 한단걷어올려입어야덜답답해보임~ 바지는더운편아니구요 색상마다사이즈가쫌씩다르네요~ 밝은색은살좀빼서입어야할듯^^ 착한가격에5종구입은잘한듯~ ,무반응,80
핏도 이쁘고 신축성 좋아 편안하고 5가지 다양한 컬러에 모주 만족해요          ,긍정,100
신축성도 좋고 핏도 좋은데 체크바지 사이즈가 작아요 교환하기 번거로워 딸 입으라고 줬더니 사이즈가 딸한데 맞네요   ,무반응,80
색상별로 사이즈가 너무 다르네요 반품귀찮아서 그냥 대충 입으려구요  여름에입긴 더울거같네요 봄.가을용입니다,부정,100
기대를 안했는데  바지가 생각보다  착용감 편하고 가볍네요 근데 한가지 허리밴드부분이 너무  널어서 좀~  쪼금안 덜  넓었으면 좋겠어요,무반응,80
넘 조아요 4번째 구매요~  시어머니드릴려구 샀는데 친구분들이 싸구넘조타구 하셔서  다들사셨어요 ㅋ 진짜 가성비 갑이에요~  가을겨울에두 나왔음 조켔네요,긍정,100
평소 사이즈보다 한치수 작게 주문해도 될거같아요~가성비가 좋네요^^ 번갈아가며 잘 입을거같아요 ,무반응,80
화면에 너무 스키니 스탈이라서 망설이다 구입했는데 정싸이즈로 주문했으며 스키니 핏의 바지로 적당히 타이트하여 날씬해보입니다. 아주 득템 했습니다.,무반응,100
엘리스 앤블루 쿨  썸머 탄력팬츠5종 입은듯 안입은듯 가볍고  스판이라 너무 편안한 느낌!~~ ,긍정,100
일단 허리부분이 넓게 만들어져 배를 눌러주니 좋네요,긍정,100
구김도 많이 안가고 안입은듯 가볍고 션해요. 가격도 좋고 핏도 이뻐요. 맘에 들어 잘입고 다니고 있네요.,긍정,100
살에 안 붙고 시원하고 구김 없어서 좋아요 살이 계속 쪄서 한 사이즈 크게 주문했더니 커요 정사이즈 권합니다,긍정,100
한번도 통넓은 바지를 입어보지 않앟는데 이번에 헤스티지 블루라벨 뱀부팬츠를 과감하게  입어봤는데 디자인이며 색상이 편안하고 시원한 느낌을 주네요,긍정,100
생각보다디자인예쁘지않음~가격대비디자인예쁘지않음...허리사이즈한치수작은걸로주문하세요,부정,60
기다리던 상품을 드디어 받았습니다  세 가지가 각기 조금씩은 색상과 크기가 달라서 입는 재미가 있네요. 물론 비슷한 듯 각기 다른 디자인도 또 다른 묘미입니다.  개인적으로 가장 마음에 드는 것은 옷감이 얇으면서도 탁성이 있어서 더위에도 여유롭게 진을 즐길 수 있을 듯 합니다,긍정,100
착용감이 편하긴한데 뚱퉁해 보여요.ㅜㅜ  2종의 디자인은 같은거 같아요.  같은옷 입은거 같음.,부정,60
진바지는 많이작게나오는편인데 이거는 펀하게잘나왛네요 적극추천합니다 특히 착용감 편한거좋아하시는분들 강추합니다 간만에 딱맞는사이즈,긍정,100
깨뜨렸습니다 기대보다 원단도. 핏도.색감도 탁월하네요  세벌 모두 맘에 듭니다  보이핏이라 사이즈 일부러 더 크게 주문했는데 종아리부터 발목라인이  아주 예뻐요 알러지가 생기면서 통기성 약한 청바지는 10년 넘게 피해왔는데 핏 예쁜 바지 득템해서 잘입겠네요  이제 이 브랜드 청바지 신상 나오면 구매를 최우선 고려해볼것 같아요   좋은 상품 감사합니다,긍정,100
26사이즈가 66이네요 55 를입지만  입어보니 펑펑하긴한데 입으려고요 시원하고 확실히 가볍네요 핏도 예쁘고,긍정,100
혹시나 하는 마음에  구매 했는데   받아보니 디자인도 심플하고  원단도 아주 가볍고  한여름에 입기에도 너무 좋을거 같아요..  사이즈도 좋구  아주 맘에 듭니다,긍정,100
갑자기살이쪄서맞는바지가없었는데...사이즈가딱인바지가있어 구매.근데너무너무맘에듭니다..색상사이즈여름내내잘입을거같습니다..,긍정,100
"정사이즈 샀더니 넉넉하고 입으니 편해요~~ 천도 얇고, 길이도 적당...흐흐흐 그래도  만족~^^ 두 개는 색이 비슷해서 좀 ~^^ ",긍정,100
입어보니 편하고  조아요  생각 예상보다 착용감이 헐 편히고 ... 세대 불문하고 두루 입을수 잏 는 디자인에  만족해요,긍정,100
헤비추얼 데님..보이핏이라  편하고 좋네요..넉넉하게 활동하기에 딱이네요...두께감은 생각보다 얇진 않은편이라 한여름까지는 어려울것 같네요..잘 구매 한것 같습니다..,무반응,100
올 여름에 션하게 입을것 같아요~^^☆ 땀이 많이 나는 여름은 스키니 보다 이아이가 굳일듯 싶어요~ㅋㅋㅋ 취소 했다가 배송이 와서 입어 봤다가 맘에 들어 반품취소 했어요~^^,긍정,100
"보이핏이라 완전 편하고, 얇아서 여름에 입기 딱 입니다 다만 연한색상 2개는 색상, 디자인이 비슷한  느낌이라 다른 색상( 흰바지면 좋을듯 )으로 나왔으면 200% 만족했을텐데  이 부분은 살짝 아쉽습니다.  정사이즈 주문하면 좋을듯...",무반응,100
사이즈는 좀 크게 나온 듯 합니다. 근데 살찐 저는 입어보니 좀 편합니다. 살 빠짐 못 입을것 같지만 다리 쪽이  넘 편해서 줄려서 입을 생각이에요.,무반응,100
얇은 원단에 디자인도 괜찮아요~ 한사이즈 작은걸로해도되겠어요~ 편하게입으려고 그냥 입었네요~,무반응,100
사이즈 크게 나온 듯 한사이즈 작게 입으면 좋을 것 같아요                                     ,부정,100
얇은 여름 데님입니다. 세 벌 다 디자인 다르고 구두나 운동화 모두 잘 어울려요. 시원하게 잘 입겠습니다~~,긍정,100
편해보여서샀어요.ㆍ  30 인분들도 한28입어도될듯ㅋㅋㅋ 두개는그래도 편하고 괜찮은데..하나는거의 입자말자 단추잠궈도 훌렁내려갈만큼컸어욪ㅋ 매우당황ㅋ,무반응,40
여름 청바지로 정착!!!! 소재 너무 좋아요~ 입기 편하고 얇고 보는사람마다 다 핏이 이쁘대요^^ 36입는데 34 시키니 이쁘게.맞아요 ㅋㅋㅋ  32도 시켜둘까 생각중입니다 다리가 얇아서.통이.좀 커서요....  ,무반응,100
마음에 듭니다. 편하게 압을수 있는 스타일을 찾았거든요~착용감 편하고 스타일도 괜찮구요 재질도 딱 좋으네요~저는 통통55인데 그냥 편히 입구싶어서 27싸쥬 구입했는대 좋습니다.,긍정,100
받자마자 세탁했더니 올풀려서 입질못하네요. 세탁했다고 환불도 안된다고하고 어이가없네. 판매할때 올풀린다고 얘기하고 팔었으면 안샀을거 아닙니까! 사진  올릴라고 하니깐 올릴수없게되고. 열받아서 죽겠네.. 이런 품질의 옷을 팔다니~ 정말 두번다시 거래하고 싶지않네요.. ,부정,20
잘샀어요 신축성도 좋고 디자인도 화면그대로 좋고 핏이 살아있고 가볍고 입어보니 편해요  배송도  빠르네요  잘 입게 될거같아요,긍정,100
살이 쪄서 28싸이즈로 주문했고 택배 받고 다음날 스카이 색상  입고 외출했는데 몇시간 지나니 허리도 늘어나고 무릎도  튀어나오고 완전별루요. 부분반품 하고싶어 ㅇㅇ쇼핑 전화하니 업체에서 셋트상품으로 판매한거라 부분반품 안받는다고 안된다고  하네요!!  어이없음.. 다른 홈쇼핑은 다 해주는데 여긴 왜 안해줌?! 어떤분 말대로 세탁하면 찢어질것같음. ,부정,40
"밝은 두벌은 같은색이고 문양흰색은 핏이 자연스럽지 못하고 천이 얇아 시원하겠지만 너무얇아 곧 찟어질거같은~고로, 비싸요",부정,80
